"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000170989",19.0742453440564,-2.34331644413317,0.708400156948119,-3.30789938589016,0.000939985739628741,0.201602838951913
"ENSG00000100154",181.924066480908,2.0466084555397,0.618343288677145,3.30982561469717,0.000933541130116612,0.201602838951913
"ENSG00000075275",300.249874086773,1.27000006634399,0.385353183138237,3.29567815166693,0.000981844284677224,0.207914848586902
"ENSG00000162882",123.051248656538,-2.59552081917691,0.789080958499041,-3.28929597301905,0.00100438345320807,0.210029134858973
"ENSG00000143341",1643.99155211533,2.40746223275108,0.736419644663757,3.26914450231743,0.00107873195585928,0.22279144308111
"ENSG00000026751",207.643962864794,-6.97812553523797,2.16031856128687,-3.23013728636446,0.00123730789446179,0.23813253094198
"ENSG00000172594",110.576639269773,-1.89622814606775,0.584735641534476,-3.24288107544056,0.00118327590744707,0.23813253094198
"ENSG00000136237",77.2869823890347,-2.54689599505981,0.78883646702886,-3.22867425824348,0.00124365464077192,0.23813253094198
"ENSG00000165025",173.754368120876,-2.55582794677681,0.791665852803106,-3.22841756749672,0.00124477128320791,0.23813253094198
"ENSG00000136840",109.797920187952,-3.03479854903305,0.939693696673043,-3.22956146218461,0.00123980229306214,0.23813253094198
"ENSG00000066084",894.595363055405,0.902170374990715,0.279603050605719,3.22661134431937,0.0012526548342934,0.23813253094198
"ENSG00000140450",123.543317857024,-1.92794464157946,0.597063621189534,-3.22904389609001,0.00124204828685321,0.23813253094198
"ENSG00000135925",9.14117054402523,-5.52372514832634,1.71472088616146,-3.22135526131699,0.00127585887993041,0.239818462947817
"ENSG00000173926",45.6978975338289,-2.16594710311995,0.674497481239244,-3.21120117326529,0.00132181365088732,0.241258814979936
"ENSG00000196376",20.0510011164195,2.24285810244774,0.698683135544419,3.21012199714837,0.00132678647726428,0.241258814979936
"ENSG00000235244",87.2682177355949,1.85920327203766,0.578227815757917,3.21534734471515,0.00130286769990485,0.241258814979936
"ENSG00000135547",15.39052645168,-2.94291408247671,0.91893873132578,-3.20251392411209,0.00136233714010745,0.245059548568361
"ENSG00000144369",41.327615058174,-3.02739566199913,0.949180888140964,-3.18948232083402,0.00142527856654282,0.253007011649
"ENSG00000204304",823.707916151324,1.33075607331892,0.418021618461396,3.18346232478839,0.00145525050079263,0.253007011649
"ENSG00000135324",16.9939648751603,-2.60920149342954,0.81977297206447,-3.1828342508764,0.00145841074763775,0.253007011649
"ENSG00000135525",48.5622927195258,-2.01559658262566,0.633610108709349,-3.18113072206405,0.00146701417478349,0.253007011649
"ENSG00000185842",279.4141411141,1.22388666643735,0.386918228480025,3.16316621019712,0.0015606320263087,0.261078131681182
"ENSG00000187260",38.1670024421998,-3.0263780551574,0.956394297128221,-3.16436229727085,0.00155423189956558,0.261078131681182
"ENSG00000111275",219.275733481528,-1.42132404081512,0.448620536455105,-3.1682099353857,0.00153380719672667,0.261078131681182
"ENSG00000255182",10.4282035245715,3.502335504466,1.11030772403255,3.15438272530951,0.00160838006338989,0.261229029907276
"ENSG00000168734",567.187561128483,-1.1960327832314,0.378796811375274,-3.15745208859872,0.00159154388164088,0.261229029907276
"ENSG00000133433",46.4418228212303,-2.84857643420299,0.902613076888262,-3.15592196384234,0.00159991659143014,0.261229029907276
"ENSG00000168016",102.869054384383,-2.98682984651446,0.950655176175511,-3.14186460176916,0.0016787564847204,0.267465878408454
"ENSG00000130052",62.0076027765241,-1.61959911039186,0.515060725362373,-3.14448186522548,0.0016638122324493,0.267465878408454
"ENSG00000013392",57.5244572796351,-1.3373561908229,0.427859298921556,-3.12569153970424,0.00177387508908546,0.27521892875691
"ENSG00000287733",26.0266273695799,-2.48029773909631,0.794330911354118,-3.1224993307488,0.00179322513207622,0.27521892875691
"ENSG00000077274",9.00849886980998,-5.49472256470031,1.7594338838081,-3.12300599372771,0.00179014102340283,0.27521892875691
"ENSG00000188921",110.818575587659,-1.27750112981079,0.40850876682148,-3.12723063387538,0.00176461439156864,0.27521892875691
"ENSG00000135917",326.252278604932,3.11303881923417,1.00056246438537,3.11128883007466,0.00186272647719595,0.27576594015054
"ENSG00000244171",103.773701761719,1.41484153038985,0.454532577029931,3.11273955243186,0.00185359515836553,0.27576594015054
"ENSG00000204371",951.519898651726,1.66330476825221,0.534130897740306,3.11403960206943,0.00184544718153202,0.27576594015054
"ENSG00000110852",67.1697144266619,-3.08493911784016,0.990758396672153,-3.11371483522333,0.00184747954736098,0.27576594015054
"ENSG00000239713",164.980830396285,-2.23201833292432,0.718675449956303,-3.1057389438585,0.00189804202014846,0.278529341711084
"ENSG00000154118",26.0781574896591,2.54069670679496,0.819035203421229,3.10206044402255,0.00192178714298438,0.279561540130311
"ENSG00000115970",417.749054059304,1.17565602468641,0.37980515789894,3.09541879628509,0.00196535180014583,0.282223528418285
"ENSG00000203778",86.0825859752065,-1.51206203683062,0.488685337767522,-3.09414242657294,0.00197382705630577,0.282223528418285
"ENSG00000021826",106.227592471959,-2.97893213805272,0.963799720152025,-3.0908207128166,0.00199604116414431,0.28298112402517
"ENSG00000250305",339.710185917207,-1.90090257936422,0.616681116048205,-3.08247249655627,0.00205288699899434,0.2885945092956
"ENSG00000163013",89.1269938484218,-1.80229467054136,0.585931678717484,-3.07594679722099,0.00209835282996358,0.292527870770507
"ENSG00000020633",106.106798900805,-3.81151455248667,1.2509603765371,-3.04687072746276,0.00231237133838865,0.299373975514789
"ENSG00000285981",25.4266931691818,-5.01502076927272,1.6437976841102,-3.05087470176561,0.00228175773405143,0.299373975514789
"ENSG00000143756",455.37278605407,0.887246611721336,0.28970870045616,3.06254734609049,0.00219461754738643,0.299373975514789
